GENESIS-Tabelle: Temporär
Energieverwendung der Betriebe im Bergbau u.Verarb. Gewerbe:;;;;;;;;;;;;;;;;;
Energieverbrauch, Energieträger, Kreise,;;;;;;;;;;;;;;;;;
Jahr (2003-2004), Gebietsstand 31.12.BJ, T.060-31;;;;;;;;;;;;;;;;;
Jahreserh.üb.Energieverw. im Bergbau u.Verarb.Gew.;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;
;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;
;;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);
;;Insgesamt;;Kohle;;Heizöl;;Erdgas;;Erneuerbare Energien;;Strom;;Wärme 4);;Sonstige Energieträger 5);
;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;
14;Freistaat Sachsen;82517623;e;2736756;e;4916780;e;38331513;e;2002605;e;30127792;e;2471532;e;1930643;e
141;  Regierungsbezirk Chemnitz;25270623;e;1366519;e;1908289;e;10651532;e;304443;e;9237492;e;672206;e;1130144;e
14161;    Chemnitz, Stadt;1950447;e;-;-;124239;e;507455;e;.;.;1050742;e;261097;e;.;.
14166;    Plauen, Stadt;676300;e;-;-;99442;e;221764;e;-;-;273498;e;80975;e;622;e
14167;    Zwickau, Stadt;3012048;e;.;.;47186;e;1670448;e;-;-;1263336;e;.;.;.;.
14171;    Landkreis Annaberg;1413244;e;-;-;53675;e;740807;e;32418;e;558338;e;28006;e;-;-
14173;    Landkreis Chemnitzer Land;1968773;e;.;.;149597;e;809318;e;.;.;718882;e;18354;e;.;.
14177;    Landkreis Freiberg;6057888;e;491286;e;181045;e;2594525;e;7775;e;1652490;e;51229;e;1079537;e
14178;    Vogtlandkreis;2063832;e;-;-;531758;e;737141;e;.;.;759019;e;14351;e;.;.
14181;    Mittlerer Erzgebirgskreis;799444;e;.;.;176970;e;246168;e;.;.;360888;e;.;.;.;.
14182;    Landkreis Mittweida;3627493;e;.;.;159952;e;1621681;e;202879;e;1144569;e;99112;e;.;.
14188;    Landkreis Stollberg;733900;e;.;.;141781;e;152471;e;-;-;387733;e;50135;e;.;.
14191;    Landkreis Aue-Schwarzenberg;1836582;e;.;.;136549;e;740346;e;.;.;659577;e;47009;e;21434;e
14193;    Landkreis Zwickauer Land;1130672;e;.;.;106095;e;609408;e;-;-;408420;e;-;-;.;.
142;  Regierungsbezirk Dresden;33319186;e;1346289;e;1615701;e;13483134;e;1678884;e;13428854;e;1670684;e;95640;e
14262;    Dresden, Stadt;5331809;e;.;.;280780;e;1027220;e;.;.;3006318;e;953676;e;2185;e
14263;    Görlitz, Stadt;676452;e;-;-;.;.;437994;e;-;-;152337;e;66081;e;.;.
14264;    Hoyerswerda, Stadt;55193;e;-;-;.;.;21582;e;-;-;27540;e;.;.;-;-
14272;    Landkreis Bautzen;2326810;e;410097;e;247183;e;881182;e;.;.;647473;e;118493;e;.;.
14280;    Landkreis Meißen;1913697;e;.;.;160786;e;837207;e;.;.;710061;e;162423;e;39258;e
14284;    Niederschlesischer Oberlausitzkreis;2959088;e;-;-;31650;e;990640;e;.;.;1894499;e;38862;e;.;.
14285;    Landkreis Riesa-Großenhain;10932100;e;-;-;377526;e;5167417;e;1627483;e;3523172;e;.;.;.;.
14286;    Landkreis Löbau-Zittau;987124;e;.;.;88073;e;450964;e;.;.;367230;e;40716;e;.;.
14287;    Landkreis Sächsische Schweiz;1737754;e;.;.;73688;e;1037718;e;-;-;616091;e;.;.;6890;e
14290;    Weißeritzkreis;3042333;e;.;.;45122;e;1317240;e;-;-;824332;e;9733;e;.;.
14292;    Landkreis Kamenz;3356824;e;-;-;296367;e;1313970;e;.;.;1659801;e;39162;e;.;.
143;  Regierungsbezirk Leipzig;23927813;e;23948;e;1392791;e;14196848;e;19277;e;7461446;e;128643;e;704860;e
14365;    Leipzig, Stadt;3036055;e;-;-;425504;e;923976;e;-;-;1593080;e;91006;e;2489;e
14374;    Landkreis Delitzsch;6351158;e;-;-;247970;e;3521549;e;.;.;1892073;e;.;.;675598;e
14375;    Landkreis Döbeln;968158;e;.;.;101000;e;562585;e;-;-;296526;e;-;-;.;.
14379;    Landkreis Leipziger Land;8161747;e;.;.;77125;e;5560683;e;.;.;2498056;e;19389;e;.;.
14383;    Muldentalkreis;2120903;e;-;-;265404;e;1279648;e;.;.;554190;e;.;.;10704;e
14389;    Landkreis Torgau-Oschatz;3289793;e;.;.;275787;e;2348406;e;.;.;627521;e;11179;e;.;.
_____
1) Energieverbrauch insgesamt:
   Soweit Energieträger als Brennstoffe zur Stromerzeugung
   in eigenen Anlagen eingesetzt werden, enthält der
   Gesamtenergieverbrauch Doppelzählungen, die sowohl den
   Energiegehalt der eingesetzten Brennstoffe als auch des
   erzeugten Stroms umfassen.

2) Sonstige Energieträger:
   Sonstige Mineralölerzeugnisse, hergestellte Gase und
   Abfälle
_____
(C)opyright Statistisches Landesamt des Freistaates Sachsen 2016 -
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet
Stand: 27.05.2016 / 13:36:31
