GENESIS-Tabelle: Temporär
Energieverwendung der Betriebe im Bergbau u.Verarb. Gewerbe:;;;;;;;;;;;;;;;;;
Energieverbrauch, Energieträger, Kreise,;;;;;;;;;;;;;;;;;
Jahr (2005-2007), Gebietsstand 31.12.BJ, T.060-31;;;;;;;;;;;;;;;;;
Jahreserh.üb.Energieverw. im Bergbau u.Verarb.Gew.;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;
;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;;Energieverbrauch;
;;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);;Energieträger 1)2);
;;Insgesamt;;Kohle;;Heizöl;;Erdgas;;Erneuerbare Energien;;Strom;;Wärme 4);;Sonstige Energieträger 5);
;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;;Tsd. MJ;
14;Freistaat Sachsen;89554662;e;2960672;e;3582833;e;40200105;e;1831219;e;35348021;e;3653230;e;1978582;e
141;  Regierungsbezirk Chemnitz;27759559;e;1791027;e;1595672;e;11488807;e;434943;e;10872657;e;459174;e;1117277;e
14161;    Chemnitz, Stadt;2145431;e;.;.;43943;e;451681;e;.;.;1290564;e;199998;e;2087;e
14166;    Plauen, Stadt;655875;e;.;.;107746;e;181438;e;-;-;299438;e;50747;e;.;.
14167;    Zwickau, Stadt;2702744;e;-;-;21182;e;1382735;e;-;-;1283545;e;.;.;.;.
14171;    Landkreis Annaberg;1435329;e;.;.;41951;e;702293;e;27427;e;612045;e;.;.;.;.
14173;    Landkreis Chemnitzer Land;1859475;e;.;.;167666;e;583683;e;.;.;797674;e;13041;e;.;.
14177;    Landkreis Freiberg;6746943;e;592015;e;145353;e;2653069;e;6988;e;2214562;e;48130;e;1086827;e
14178;    Vogtlandkreis;2233341;e;-;-;488370;e;756165;e;30888;e;943321;e;10288;e;4309;e
14181;    Mittlerer Erzgebirgskreis;985902;e;.;.;137119;e;224957;e;177566;e;386095;e;21893;e;.;.
14182;    Landkreis Mittweida;4887494;e;.;.;144976;e;2987511;e;131316;e;1262750;e;2559;e;.;.
14188;    Landkreis Stollberg;847480;e;-;-;128733;e;158199;e;-;-;502861;e;56425;e;1261;e
14191;    Landkreis Aue-Schwarzenberg;2072914;e;340597;e;83895;e;799671;e;.;.;787958;e;43418;e;.;.
14193;    Landkreis Zwickauer Land;1186631;e;.;.;84740;e;607406;e;.;.;491842;e;-;-;.;.
142;  Regierungsbezirk Dresden;37086884;e;1098479;e;927268;e;14156040;e;1338494;e;16374330;e;3089100;e;103173;e
14262;    Dresden, Stadt;6945578;e;.;.;160309;e;1103478;e;10236;e;3892034;e;1739326;e;.;.
14263;    Görlitz, Stadt;750713;e;-;-;.;.;90340;e;-;-;585981;e;48398;e;.;.
14264;    Hoyerswerda, Stadt;59669;e;-;-;.;.;17777;e;-;-;34421;e;.;.;-;-
14272;    Landkreis Bautzen;2251060;e;246667;e;178429;e;955475;e;6347;e;742190;e;99417;e;22535;e
14280;    Landkreis Meißen;1950370;e;-;-;77992;e;876509;e;6386;e;810612;e;134218;e;44654;e
14284;    Niederschlesischer Oberlausitzkreis;2896184;e;-;-;16849;e;899218;e;2805;e;1931999;e;41434;e;3879;e
14285;    Landkreis Riesa-Großenhain;11279741;e;.;.;75816;e;5522891;e;1184267;e;4228739;e;215684;e;.;.
14286;    Landkreis Löbau-Zittau;941242;e;.;.;71379;e;390683;e;.;.;406472;e;12073;e;.;.
14287;    Landkreis Sächsische Schweiz;2023257;e;.;.;59652;e;1162221;e;-;-;795812;e;.;.;5252;e
14290;    Weißeritzkreis;3252681;e;.;.;43518;e;1449110;e;-;-;1030903;e;.;.;7109;e
14292;    Landkreis Kamenz;4736387;e;-;-;214835;e;1688338;e;.;.;1915168;e;788799;e;.;.
143;  Regierungsbezirk Leipzig;24708219;e;71165;e;1059893;e;14555258;e;57781;e;8101034;e;104956;e;758132;e
14365;    Leipzig, Stadt;3663312;e;.;.;296703;e;1230640;e;.;.;2020354;e;82438;e;.;.
14374;    Landkreis Delitzsch;7006715;e;.;.;308490;e;4142067;e;.;.;1777259;e;279;e;723897;e
14375;    Landkreis Döbeln;1025947;e;.;.;69106;e;587992;e;-;-;358749;e;-;-;.;.
14379;    Landkreis Leipziger Land;7563353;e;-;-;70327;e;4792934;e;.;.;2664870;e;.;.;5497;e
14383;    Muldentalkreis;2454224;e;-;-;191879;e;1646710;e;.;.;592497;e;.;.;13365;e
14389;    Landkreis Torgau-Oschatz;2994668;e;.;.;123389;e;2154915;e;5708;e;687304;e;11908;e;.;.
_____
1) Energieverbrauch insgesamt:
   Soweit Energieträger als Brennstoffe zur Stromerzeugung
   in eigenen Anlagen eingesetzt werden, enthält der
   Gesamtenergieverbrauch Doppelzählungen, die sowohl den
   Energiegehalt der eingesetzten Brennstoffe als auch des
   erzeugten Stroms umfassen.

2) Sonstige Energieträger:
   Sonstige Mineralölerzeugnisse, hergestellte Gase und
   Abfälle
_____
(C)opyright Statistisches Landesamt des Freistaates Sachsen 2016 -
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet
Stand: 27.05.2016 / 13:36:55
