GENESIS-Tabelle: Temporär
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatsbericht über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2014;Januar;Steinkohlen;11598345;10632024;4356217;114365084
2014;Januar;Steinkohlenkoks;-;-;-;-
2014;Januar;Steinkohlenbriketts;-;-;-;-
2014;Januar;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;Januar;Sonstige Steinkohlen;-;-;-;-
2014;Januar;Rohbraunkohlen;14047380;13056483;1200823;131806862
2014;Januar;Hartbraunkohlen;.;.;.;.
2014;Januar;Braunkohlenbriketts;12818;11394;.;153950
2014;Januar;Braunkohlenkoks;.;.;.;.
2014;Januar;Wirbelschichtkohle;.;.;.;.
2014;Januar;Staub- und Trockenkohle;29795;28046;73201;532000
2014;Januar;Sonstige Braunkohlen;-;-;-;-
2014;Januar;Dieselkraftstoff;33;29;.;257
2014;Januar;Heizöl, leicht;56518;52271;35659;846252
2014;Januar;Heizöl, schwer;33329;30709;.;366448
2014;Januar;Flüssiggas;.;.;.;.
2014;Januar;Raffineriegas;-;-;-;-
2014;Januar;Petrolkoks;.;.;.;.
2014;Januar;Sonstige Mineralölprodukte;.;.;.;.
2014;Januar;Erdgas, Erdölgas;4516962;4368136;5835817;47499116
2014;Januar;Grubengas;.;.;.;.
2014;Januar;Kokereigas;.;.;.;.
2014;Januar;Hochofengas;.;.;.;.
2014;Januar;Sonstige hergestellte Gase;-;-;-;-
2014;Januar;Laufwasser;1223551;1208692;-;-
2014;Januar;Speicherwasser;42105;41664;-;-
2014;Januar;Pumpspeicherwasser;-;-;-;-
2014;Januar;Pumpspeicher mit natürlichem Zufluss;50012;.;-;-
2014;Januar;Pumpspeicher ohne natürlichen Zufluss;548922;537702;-;-
2014;Januar;Windkraft;-;-;-;-
2014;Januar;Photovoltaik;-;-;-;-
2014;Januar;Geothermie;11574;8699;.;-
2014;Januar;Solarthermie;-;-;-;-
2014;Januar;Feste biogene Stoffe;410903;372031;496262;6959415
2014;Januar;Flüssige biogene Stoffe;.;.;.;.
2014;Januar;Biogas;101818;99043;107315;1060247
2014;Januar;Klärgas;2861;2748;4066;41348
2014;Januar;Deponiegas;7240;6897;3887;88026
2014;Januar;Sonstige erneuerbare Energien;.;.;-;259918
2014;Januar;Klärschlamm;10903;10023;2441;103048
2014;Januar;Abfall (Hausmüll, Industrie);-;-;-;-
2014;Januar;Abfall (Industrie);85716;67864;133897;1680789
2014;Januar;Abfall (Hausmüll, Siedlungsabfälle);886162;690549;1469683;17394563
2014;Januar;Kernenergie;8904857;8429874;-;-
2014;Januar;Wärme;37701;35796;114040;812692
2014;Januar;Sonstige Energieträger;.;.;.;.
2014;Januar;Insgesamt;43095569;40178581;13994044;328494246
2014;Februar;Steinkohlen;10129930;9292348;3604453;99911545
2014;Februar;Steinkohlenkoks;-;-;-;-
2014;Februar;Steinkohlenbriketts;-;-;-;-
2014;Februar;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;Februar;Sonstige Steinkohlen;-;-;-;-
2014;Februar;Rohbraunkohlen;12422653;11529059;1020174;117284709
2014;Februar;Hartbraunkohlen;.;.;.;.
2014;Februar;Braunkohlenbriketts;13319;11798;.;162788
2014;Februar;Braunkohlenkoks;.;.;.;.
2014;Februar;Wirbelschichtkohle;.;.;.;.
2014;Februar;Staub- und Trockenkohle;22858;21397;55848;410117
2014;Februar;Sonstige Braunkohlen;-;-;-;-
2014;Februar;Dieselkraftstoff;.;.;.;.
2014;Februar;Heizöl, leicht;65354;59046;17856;821497
2014;Februar;Heizöl, schwer;31670;29277;14188;348719
2014;Februar;Flüssiggas;.;.;.;.
2014;Februar;Raffineriegas;-;-;-;-
2014;Februar;Petrolkoks;.;.;.;.
2014;Februar;Sonstige Mineralölprodukte;.;.;.;.
2014;Februar;Erdgas, Erdölgas;3468560;3353543;4558213;37415491
2014;Februar;Grubengas;.;.;.;.
2014;Februar;Kokereigas;.;.;.;.
2014;Februar;Hochofengas;.;.;.;.
2014;Februar;Sonstige hergestellte Gase;-;-;-;-
2014;Februar;Laufwasser;1055077;1039898;-;-
2014;Februar;Speicherwasser;31031;30655;-;-
