GENESIS-Tabelle: Temporär
Betriebe, Tätige Personen, Geleistete Arbeitsstunden,;;;;;;;;;;;;;;;;;;;;
Entgelte (Energie- und Wasserversorgung):;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftszweige;;;;;;;;;;;;;;;;;;;;
Monatsbericht: Energie- und Wasserversorgung;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;
;Elektrizitätsversorgung;Elektrizitätsversorgung;Elektrizitätsversorgung;Elektrizitätsversorgung;Gasversorgung;Gasversorgung;Gasversorgung;Gasversorgung;Wärme- und Kälteversorgung;Wärme- und Kälteversorgung;Wärme- und Kälteversorgung;Wärme- und Kälteversorgung;Wasserversorgung;Wasserversorgung;Wasserversorgung;Wasserversorgung;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;Betriebe;Tätige Personen;Geleistete Arbeitsstunden;Entgelte;Betriebe;Tätige Personen;Geleistete Arbeitsstunden;Entgelte;Betriebe;Tätige Personen;Geleistete Arbeitsstunden;Entgelte;Betriebe;Tätige Personen;Geleistete Arbeitsstunden;Entgelte;Betriebe;Tätige Personen;Geleistete Arbeitsstunden;Entgelte
;Anzahl;Anzahl;Tsd. Std.;Tsd. EUR;Anzahl;Anzahl;Tsd. Std.;Tsd. EUR;Anzahl;Anzahl;Tsd. Std.;Tsd. EUR;Anzahl;Anzahl;Tsd. Std.;Tsd. EUR;Anzahl;Anzahl;Tsd. Std.;Tsd. EUR
1991;706;273835;226544;7608079;228;32122;24016;892459;141;17567;20880;290421;407;45894;45501;902531;1481;369418;316941;9693491
1992;722;258868;211745;8102470;290;35681;26109;1061811;157;15246;16966;341050;426;45945;45124;1067574;1595;355740;299944;10572904
1993;737;251996;203052;8413924;311;36034;25559;1132604;217;18824;20625;459632;477;44348;41901;1137504;1742;351202;291137;11143664
1994;733;247884;194527;8511522;311;35487;24037;1162609;249;15083;16410;390328;483;42190;38202;1136155;1776;340644;273176;11200614
1995;731;240396;184611;8561757;314;33625;21964;1170877;250;14514;14581;397582;481;40834;36099;1154111;1776;329368;257255;11284327
1996;747;232953;174662;8614586;304;33736;21839;1219545;248;13682;12662;387161;470;38217;33046;1098230;1768;318587;242211;11319521
1997;767;225444;166376;8390545;301;33018;20722;1214938;238;13144;11184;383723;468;37695;32164;1098793;1773;309304;230388;11097437
1998;774;217542;158778;8390545;299;32064;19658;1214938;239;13371;11204;398684;470;36464;30990;1093269;1781;299441;220632;11097437
1999;764;210075;150997;8219383;291;30242;18477;1214831;221;13205;10717;404122;465;35586;30203;1084665;1742;289107;210397;10923001
2000;740;193412;133358;7660859;261;26269;15094;1088430;216;13383;10627;438925;459;34777;28908;1070676;1677;267839;187989;10258889
2001;781;184241;121977;7469192;258;25512;13571;1037492;194;11353;9029;42215;456;34557;28089;1099905;1689;255663;172666;10008804
2002;819;183456;278989;7631765;256;25331;37572;1087522;195;10633;16702;382121;453;33254;52321;1082019;1723;252674;385582;10183421
2003;858;181623;275260;7637710;247;25034;37693;1102545;182;9556;15037;369019;444;32327;51040;1092789;1730;248540;379031;10202059
2004;851;185913;291917;7972340;250;22563;36176;1010856;177;9587;15599;383224;469;32979;53508;1129229;1747;251042;397198;10495650
2005;873;184592;290801;8140490;244;21678;34849;1001336;170;8672;13895;357885;460;32797;52017;1134570;1748;247739;391562;10634282
2006;886;183569;287271;8298326;244;20810;33504;993450;163;10071;16217;451090;447;32340;50701;1143717;1740;246790;387692;10886581
2007;919;181926;282956;8334598;255;21083;33929;1022861;153;10642;17142;463664;445;31683;49271;1126939;1772;245334;383297;10948064
2008;929;179178;277301;8570470;252;20818;33707;1040979;144;9865;15923;464613;447;31535;49350;1167780;1772;241396;376279;11243843
2009;1022;179756;276367;8848681;232;17648;28690;934582;151;10900;17489;514618;448;31653;49553;1218810;1853;239957;372104;11516690
2010;1176;178869;277679;8988965;233;18119;29330;964191;162;11743;18714;563318;438;31495;49395;1211083;2009;240225;375100;12234446
2011;1186;179349;276237;9282531;238;18193;29283;961261;182;11335;17945;567431;442;27951;44365;1100288;2047;236827;367831;11911514
2012;1205;177660;268891;9388311;222;17003;26774;924641;173;10979;17186;574407;439;27432;43127;1115594;2038;233074;355977;12002954
2013;1235;174083;260603;9527638;219;16245;24968;873149;188;15717;23772;855741;433;27175;42185;1141403;2075;233220;351529;12397931
2014;1263;175964;262519;9807813;223;15952;24352;849281;187;15611;23780;867972;428;27340;42612;1183110;2101;234867;353263;12708176
2015;1309;176442;264119;10038570;267;16546;25620;901342;205;15332;23676;860666;442;27144;42482;1196539;2223;2354645;355898;12997116
_____
Betriebe:
Betriebe von Unternehmen der Energie- und Wasserversorgung
mit 20 Beschäftigten und mehr sowie Betriebe der Energie-
und Wasserversorgung mit 20 Beschäftigten und mehr von
Unternehmen außerhalb des Produzierenden Gewerbes.

Betriebe, Tätige Personen:
Bei Betrieben und Tätigen Personen handelt es sich um den
Jahresdurchschnitt.

Geleistete Arbeitsstunden:
Bis 2001 wurden nur die Arbeiterstunden erhoben.

Deutschland:
Bis einschließlich 1990 Früheres Bundesgebiet.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2016
Stand: 27.05.2016 / 11:57:48
